192
Sumeg, vasutallomas;Sumeg, buszpalyaudvar;1208;16;6;h
Sumeg, buszpalyaudvar;Mogyorosi-domb, geologiai bemutatohely;1512;24;8;h
Mogyorosi-domb, geologiai bemutatohely;Sumegi bazaltbanya vasutallomas;1576;13;43;h
Sumegi bazaltbanya vasutallomas;Sarvaly erdeszhaz, pecsetelohely;2101;69;18;i
Sarvaly erdeszhaz, pecsetelohely;Leteres a foldutrol a romos vadaszhaznal;4250;82;66;h
Leteres a foldutrol a romos vadaszhaznal;Kek rom jelzes kezdete Tatika varahoz;2686;172;29;h
Kek rom jelzes kezdete Tatika varahoz;Hidegkuti major;1614;9;135;h
Hidegkuti major;Leteres a Sztupahoz;3903;153;53;h
Leteres a Sztupahoz;Zalaszanto, romai katolikus templom;2747;14;148;i
Zalaszanto, romai katolikus templom;Leteres az orszagutrol Rezi fele;2396;26;51;h
Leteres az orszagutrol Rezi fele;Rezi, leteres a pecsetelohelyhez;3328;112;13;i
Rezi, leteres a pecsetelohelyhez;Gyongyosi csarda;2535;31;173;i
Gyongyosi csarda;Egregy, arpad-kori templom;5239;134;109;h
Egregy, arpad-kori templom;Heviz, leteres az autobuszallomashoz;2595;20;49;i
Heviz, leteres az autobuszallomashoz;Keszthely, Festetics kastely eszaki kapuja;5114;58;32;h
Keszthely, Festetics kastely eszaki kapuja;Keszthely, leteres a vasutallomashoz;1820;3;36;i
